Ticker,Sector,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Total Cash Per Share,Total Debt/Equity,,0
AWC,Materials,4620000,4870000,NA,14.95,5.23,45734.57,1.89,48745.92,-416.63,0.01,4.77,,
AMA,Retailing,198880,199700,27.05,19.83,-9.29,2.54,4.47,2.59,16.81,0,18.37,,
AHD,Media,2040000,2060000,24.78,19.86,1.92,1.87,2.2,1.88,10.93,0.83,14.09,,
AMO,Technology Hardware & Equipment,4590,9220,NA,NA,NA,0.09,0.38,0.19,-15.27,0.05,51.02,,
AMB,Commercial Services & Supplies,10510,5290,NA,NA,NA,0.12,0.9,0.06,3.7,0.08,NA,,
AMH,Diversified Financials,215270,202220,38.7,NA,NA,30.78,1.11,28.43,NA,0.08,NA,,
AMM,Telecommunication Services,612720,628620,31.08,23,6.24,3.67,3.62,3.74,13.82,0.08,22.06,,
AMC,Materials,16870000,20080000,34.07,23.97,4.8,1.92,9.01,2.26,16.16,0.34,172.56,,
AOW,Energy,25240,23380,NA,NA,NA,385.18,2.9,346.84,-11.68,0.02,NA,,
AXZ,Materials,42420,73680,NA,NA,NA,771.63,6.03,1310.08,-21.32,0,426.45,,
AMP,Insurance,17870000,-71560000,20.47,14.98,2.39,1.03,2.2,-4.07,-27.74,36.91,196.8,,
ANQ,Commercial Services & Supplies,7760,12610,NA,NA,NA,90.23,NA,147.38,-2.23,0,NA,,
ALT,Health Care Equipment & Services,11270,6910,NA,NA,NA,19.77,3,12.12,-1.89,0,0.02,,
ANR,Pharmaceuticals & Biotechnology,27180,19950,NA,NA,NA,599.81,4.16,443.39,NA,0.17,NA,,
AEK,Energy,26640,18930,NA,NA,NA,7409.26,1.09,5204.73,-8.11,0.01,NA,,
AHR,Materials,2630,11240,NA,NA,NA,139.05,8.33,594.86,-15.3,0.01,2852.58,,
AAR,Materials,1080,1330,NA,NA,NA,NA,0.16,NA,-3.24,0,1.55,,
AGG,Materials,934410,4260000,NA,1.52,-0.52,0.19,0.34,0.86,2.89,0.9,131.21,,
AB1,Software & Services,22480,24250,NA,NA,NA,12.04,NA,12.99,NA,NA,NA,,
AWV,Materials,13250,8620,NA,NA,NA,400.79,0.83,329.72,-2.62,0.01,NA,,
ANN,Health Care Equipment & Services,3980000,4380000,62.73,19.82,1.92,2.28,3.49,2.53,16,1.74,59,,
AZZ,Energy,27740,25820,NA,NA,NA,5.35,11,5.2,-0.58,0.21,2057.06,,
ANO,Materials,18750,16520,NA,NA,NA,4.63,5.33,4.08,-265.8,0,NA,,
ADO,Pharmaceuticals & Biotechnology,69440,53530,NA,NA,NA,197.35,9,172.8,-12.71,0.01,NA,,
AVD,Energy,3260,849.13,NA,NA,NA,199.59,1.03,52.25,-0.28,0.06,NA,,
AZY,Materials,2450,770.48,NA,NA,NA,53.97,0.13,25.47,-0.85,0,NA,,
ANP,Pharmaceuticals & Biotechnology,19380,17840,NA,NA,NA,17.24,8.57,15.87,-5.7,0.02,NA,,
APE,Retailing,1610000,2300000,21.63,19.15,3.12,0.57,2.78,0.8,17.78,0.13,98.29,,
AAL,Energy,NA,747.64,NA,NA,NA,5,0.37,4.99,-2.42,0,NA,,
AQQ,Materials,5420,7760,NA,NA,NA,455.79,0.15,1198.13,-13.98,0,25.13,,
APN,Media,792360,1290000,70,8.56,1.36,0.96,1.86,1.54,9.16,0.04,103.64,,
APO,Media,533170,628500,NA,16,1.2,2.13,2.47,2.51,17.17,0.06,40.94,,
APD,Diversified Financials,126880,17170,7.64,NA,NA,3.36,1.4,0.69,1.9,0.33,7.71,,
AOP,Materials,1910,764.62,NA,NA,NA,NA,0.4,NA,-2.7,0.02,NA,,
AON,Materials,4330,3480,NA,NA,NA,8.45,0.52,6.54,-2.7,0.02,NA,,
APX,Software & Services,63270,54900,34.74,11,NA,1.23,3.19,1.08,8.44,0.09,NA,,
ALA,Software & Services,4070,1170,NA,NA,NA,5.91,0.76,1.48,-0.69,0.08,NA,,
AQU,Consumer Services,29950,24950,NA,NA,NA,4.5,1,3.75,-17.12,0.01,1.31,,
AQP,Materials,236700,235740,NA,8,-1.27,1.22,0.7,1.06,9.91,0.1,31.58,,
ARU,Materials,22060,4440,NA,NA,NA,27.33,0.16,5.62,-0.9,0.04,NA,,
ARB,Automobiles & Components,1060000,1080000,22.79,21.61,3.62,3.41,5.06,3.45,17.55,0.15,5.22,,
ARX,Materials,2130,620.46,NA,NA,NA,2.71,0.29,0.79,-0.38,0,NA,,
AXE,Materials,8200,6640,NA,NA,NA,40.03,0.55,31.55,-5.92,0.04,NA,,
AAD,Consumer Services,924450,1240000,19.35,13.93,2.19,1.73,1.6,2.31,11.8,0.02,50.71,,
ADV,Materials,2250,2420,NA,NA,NA,NA,8,NA,NA,0,NA,,
ARF,Real Estate,368690,474860,6.41,13.46,NA,10.04,1.6,13.87,NA,0.03,56.47,,
ARD,Materials,3910,3270,NA,NA,NA,69.55,3.14,58.18,-1.9,0.01,NA,,
AXT,Materials,1970,-820.3,NA,NA,NA,NA,1,1.17,0.68,0.02,0.63,,
ARG,Not Applic,5350000,5210000,26.56,NA,NA,24.8,1.23,24.31,25.15,0.14,NA,,
ARE,Materials,3110,1200,NA,NA,NA,110.38,0.37,33.19,-0.77,0,NA,,
AGY,Materials,1130,1150,NA,NA,NA,3.72,3,3.78,2.75,0,143.72,,
ARA,Commercial Services & Supplies,79470,67970,13.93,NA,NA,3.06,0.91,2.65,21.08,0.07,4.88,,
ALL,Consumer Services,4880000,4650000,NA,17.91,0.16,5.68,6.75,5.49,23.4,0.47,16.23,,
AHK,Materials,1750,1660,NA,NA,NA,NA,3.57,NA,-4.97,0,NA,,
AJQ,Energy,16410,15410,NA,NA,NA,571.31,0.21,501.61,-3.32,0.01,NA,,
AWN,Capital Goods,113090,53740,1.03,NA,NA,13.17,0.8,6.23,33.46,0.36,0.13,,
ARI,Materials,483580,1920000,NA,NA,0.17,0.08,0.16,0.3,2.76,0.07,54.47,,
ARV,Materials,2480,2410,NA,NA,NA,35.22,0.33,34.67,-1.47,0,3,,
AAJ,Materials,1190,123.41,NA,NA,NA,NA,0.67,-1.01,-0.06,0.01,NA,,
AJR,Materials,1830,865.87,NA,NA,NA,4.4,0.5,2.08,-1.74,0,NA,,
AHY,Household & Personal Products,1130000,1400000,312.5,14.42,2.98,1.77,2.88,2.23,17.07,0.06,69.53,,
AIO,Transportation,6370000,10190000,24.83,14.2,1.51,1.62,1.66,2.6,9.9,0.19,98.62,,
AZQ,Materials,7020,3620,NA,NA,NA,43.76,0.28,23.42,-0.48,0.05,11.35,,
AFA,Diversified Financials,202760,179780,NA,NA,NA,55.68,5.78,52.77,-36.23,0.01,0.06,,
ASZ,Software & Services,174700,205180,16.25,12.07,4.02,1.1,1.75,1.3,10.96,0.03,28.47,,
AJD,Real Estate,145480,164990,6.69,NA,NA,11.25,1.14,12.75,NA,0.05,19.92,,
DIG,Media,33730,37380,NA,NA,NA,0.61,2.98,0.77,-141.07,0.02,71.03,,
AJJ,Health Care Equipment & Services,20110,18500,NA,NA,NA,1.34,5.26,1.16,-206.1,0.01,0.08,,
AKF,Diversified Financials,5080,5450,NA,NA,NA,NA,0.99,-12.92,NA,0.01,NA,,
APZ,Real Estate,147110,217230,NA,10.83,0.13,5.66,0.85,8.29,NA,0.23,44.89,,
ASP,Media,13960,14610,NA,NA,NA,0.31,0.83,0.43,-15.12,0,47.94,,
AKM,Materials,2000,18990,NA,NA,NA,NA,0.33,NA,-4.38,0,17.8,,
AIR,Capital Goods,3270,4400,NA,NA,NA,0.28,0.39,0.38,-6.67,0.05,32.63,,
AJA,Real Estate,331240,318450,10.91,11.74,13.69,19.84,0.85,18.76,21.76,0.3,NA,,
ARO,Materials,NA,1770,NA,NA,NA,NA,1.56,-857.93,-1.11,0,438.39,,
ATR,Materials,20820,10160,NA,NA,NA,13.74,0.21,6.7,-1.42,0.07,NA,,
ASX,Diversified Financials,7810000,7090000,19.89,18.69,3.77,9.41,2.09,8.53,10.92,4.96,NA,,
ACG,Health Care Equipment & Services,34000,34140,NA,NA,NA,6.09,8,6.52,-13.11,0.02,NA,,
AHN,Materials,1730,1660,NA,NA,NA,955.86,0.26,915.46,-3.18,0,NA,,
AGO,Materials,110340,265060,NA,NA,-0.01,0.11,0.22,0.28,-0.39,0.19,64.9,,
ATP,Consumer Durables & Apparel,21090,20600,NA,NA,NA,1.25,0.72,1.59,-5.71,0.01,28,,
ATU,Materials,205710,206740,NA,NA,NA,178.73,34,179.59,-9.54,0.02,66.5,,
AYA,Materials,13910,25040,NA,16,NA,99.29,3.81,178.77,-3.94,0.03,379.32,,
AIA,Transportation,5200000,6640000,34.14,27.31,2.77,14.83,2.45,18.51,24.46,0.03,56.13,,
ACP,Materials,52690,52260,NA,NA,NA,NA,16.07,NA,NA,0,21.12,,
AKP,Consumer Durables & Apparel,231360,235910,NA,NA,NA,1335.02,58.21,1299.21,-62.64,0.07,NA,,
AUK,Materials,3470,950.06,NA,NA,NA,NA,0.35,NA,2.52,0.01,NA,,
AEE,Energy,6620,4500,NA,NA,NA,675.34,0.37,582.87,-2.84,0.01,0.3,,
AMI,Materials,93120,187610,NA,4,-2.08,998.82,1.28,2180.1,-66.08,0.03,164.8,,
AZJ,Transportation,11090000,14040000,24.48,NA,NA,2.92,1.71,3.72,10.44,0.09,48.02,,
AOU,Materials,5580,4580,NA,NA,NA,776.41,0.66,959.41,-6.3,0,35.58,,
ABW,Not Applic,26720,-340.94,NA,NA,NA,NA,0.99,0.45,NA,0.98,NA,,
AOD,Not Applic,21000,-14600,NA,NA,NA,NA,0.92,17.25,NA,1.37,NA,,
AIB,Diversified Financials,6080,-469.67,NA,NA,NA,15.87,1.01,-1.18,NA,0.91,NA,,
ARM,Materials,4790,-2270,NA,NA,NA,7.08,0.52,-3.35,1.03,0.06,NA,,
AUP,Not Applic,11500,-720.5,8.93,NA,NA,7.03,1.01,-0.43,NA,5.84,NA,,
ANW,Materials,4660,3670,NA,NA,NA,NA,0.4,-753.51,-3.27,0,NA,,
ASL,Capital Goods,134280,511030,NA,8.6,-1.91,0.15,0.22,0.62,3.63,0.25,81.4,,
AAX,Capital Goods,38160,80770,NA,3.83,-2.28,0.11,0.17,0.23,-7.78,0.13,28.94,,
AUC,Materials,10880,8910,NA,NA,NA,466.87,0.28,418.84,-8.78,0,NA,,
AOA,Materials,1800,935.74,NA,NA,NA,NA,0.47,NA,-1.74,0,NA,,
AST,Utilities,4980000,11470000,205,20.5,-3.64,2.72,1.54,6.26,10.67,0.26,229.98,,
AQD,Materials,10910,6280,NA,NA,NA,350.05,0.46,337.95,7.31,0,5.33,,
ASB,Capital Goods,600180,623670,11.69,12.36,1.5,0.47,1.28,0.48,6.84,0.41,29.09,,
AUB,Insurance,578990,594060,15.79,15.5,13.47,2.81,2.36,2.91,10.51,0.61,20.8,,
AOK,Energy,61440,61680,NA,2.2,NA,1.86,1.49,1.86,4.31,0.03,20.81,,
ANG,Capital Goods,56460,150050,NA,5.58,-15.53,0.27,0.43,0.73,17.94,0.12,75.91,,
AKK,Energy,7650,6580,NA,NA,NA,4.02,0.24,3.36,-0.34,0.01,NA,,
ACK,Insurance,41280,33460,400,NA,NA,6.49,4.83,5.21,NA,0.08,NA,,
APG,Materials,9990,10420,NA,NA,NA,NA,0.31,NA,-4.04,0,0.91,,
AGD,Materials,81390,63380,NA,NA,NA,1.11,1.04,0.98,3.62,0.02,2.86,,
ARH,Materials,2930,5410,NA,NA,NA,1441.5,0.32,2659.48,-4.68,0,28.58,,
AWI,Not Applic,35040,NA,NA,NA,NA,NA,1.1,NA,NA,0.28,NA,,
ANZ,Banks,85450000,96740000,11.95,11.25,2.5,4.36,1.66,4.89,NA,69.46,NA,,
AAK,Real Estate,3640,4300,NA,NA,NA,7.42,0.05,8.85,-23.78,0,0.94,,
ANB,Materials,38000,42260,NA,NA,NA,11.17,1.94,12.42,-3.48,0.01,26.68,,
AYM,Materials,1410,2100,NA,NA,NA,26.98,0.07,40.07,-1.63,0,0.98,,
AAC,"Food, Beverage & Tobacco",711470,1090000,74.17,NA,NA,2.04,0.93,3.15,-6.47,0.02,50.17,,
AAP,Food & Staples Retailing,1520,6120,NA,NA,NA,0.6,0.36,2.39,21.03,0,107.55,,
ABX,Materials,42850,39550,NA,NA,NA,92.41,2.42,85.29,-19.1,0.03,NA,,
ACO,Consumer Services,149070,144310,10.47,NA,NA,3.66,2.96,3.53,6.9,0.12,1.81,,
AHF,"Food, Beverage & Tobacco",41890,16250,NA,11,NA,23.77,4.89,23.51,NA,0.07,61.81,,
AEF,Diversified Financials,55330,44080,29.98,NA,NA,2.74,5.99,2.2,9.4,7.74,NA,,
AFI,Not Applic,6720000,6740000,26.14,NA,NA,24.07,1.26,24,25.3,0.14,3.78,,
ALF,Diversified Financials,302450,-306380,NA,NA,NA,10.32,0.88,-10.66,NA,2.43,NA,,
AUZ,Materials,4930,2780,NA,NA,NA,NA,1.67,NA,-2.46,0,NA,,
AYB,"Food, Beverage & Tobacco",3800,1740,NA,NA,NA,5022038.97,NA,1743499.06,-3.37,NA,NA,,
AOC,Energy,5580,4600,NA,NA,NA,11.7,2.4,9.7,-13.18,0,NA,,
AQC,Materials,1180,820.75,NA,NA,NA,44.12,0.5,39.89,-0.58,0,14.51,,
API,Health Care Equipment & Services,842000,950340,18.55,19.17,1.32,0.26,1.77,0.28,10.77,0.03,17.72,,
ARW,Energy,3990,15610,NA,NA,NA,0.07,0.2,0.27,4.73,0.05,70.5,,
ARC,Diversified Financials,4910,631.51,NA,NA,NA,2.14,1.15,0.28,NA,0.48,NA,,
AUI,Diversified Financials,897960,1.00E+06,22.01,NA,NA,19.08,1.13,21.28,NA,0.21,14.91,,
AVG,"Food, Beverage & Tobacco",87050,182240,7.98,NA,NA,0.38,0.31,0.79,8.76,0.03,36.06,,
ABA,Banks,187430,740990,13.83,13.32,4.96,3.18,0.94,12.65,NA,2.24,322.74,,
AIY,Not Applic,4150,4100,7.5,NA,NA,3.19,1.67,3.15,NA,0,NA,,
AHG,Retailing,1320000,2200000,15.9,NA,NA,0.27,2.04,0.44,11.65,0.26,128.82,,
AVI,Materials,7310,3300,NA,NA,NA,67.4,0.11,51.16,-10.06,0.01,NA,,
AVB,Materials,152870,99070,NA,NA,NA,NA,1.76,NA,-36.98,0.02,NA,,
AOG,Real Estate,1450000,3010000,46.83,16.53,2.35,3.09,0.98,6.66,54.35,0.07,114.26,,
AVX,Pharmaceuticals & Biotechnology,10790,8860,NA,NA,NA,30.15,0.83,28.86,-3.66,0,NA,,
AVH,Pharmaceuticals & Biotechnology,35270,23670,NA,NA,NA,9.93,11.57,8.92,-3.5,0.01,NA,,
AVJ,Real Estate,257120,342530,11.44,8.44,-6.32,0.94,0.78,1.29,13.17,0.06,35.19,,
AVZ,Materials,5850,1980,NA,NA,NA,95.68,1.8,43.15,-6.28,0.01,NA,,
AWE,Energy,728320,715840,NA,NA,-0.57,2.31,0.77,2.27,15.97,0.14,6.3,,
AVQ,Materials,96770,87340,NA,NA,NA,965.41,20.25,949.37,-6.34,0.01,101.24,,
AXI,Real Estate,26320,47860,4,NA,NA,15.43,1.25,27.62,-24.81,0.02,128.77,,
AYG,Software & Services,2560,7570,NA,NA,NA,0.07,NA,0.21,-4.38,0,NA,,
AZK,Materials,42900,40060,NA,NA,NA,NA,6.72,NA,-37.92,0,NA,,
APY,Energy,5800,-1220,NA,NA,NA,2.63,0.15,-0.56,0.18,0.01,NA,,
AZM,Materials,9060,8240,NA,NA,NA,44.04,3,38.84,-2.05,0.01,61.92,,
AZV,Health Care Equipment & Services,53120,45630,20,9.33,NA,1.68,3.58,1.39,19.74,0.02,8.58,,
AZS,Materials,13930,9220,NA,NA,NA,412.94,2.17,358.46,-3.27,0,NA,,
BTI,Diversified Financials,56220,56220,NA,NA,NA,NA,0.91,NA,NA,NA,NA,,
BOQ,Banks,4580000,10700000,16.02,12.14,1.81,4.84,1.35,11.24,NA,10.58,NA,,
BMN,Energy,18680,28520,NA,NA,NA,6393,0.34,9505.17,-27,0.01,19.36,,
BKP,Energy,2230,1110,1,NA,NA,NA,0.2,NA,-1.33,0,0.14,,
BAR,Materials,2990,3330,NA,NA,NA,1064.52,0.32,1187.84,-5.67,0,NA,,
BST,Not Applic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BSE,Materials,93040,332660,NA,2.36,-0.06,1.02,0.43,3.66,13.07,0.02,119.15,,
BSM,Materials,1500,221.46,NA,NA,NA,NA,0.4,NA,-0.22,0,NA,,
BAS,Energy,3220,2240,NA,NA,NA,10.45,0.5,9.69,2.69,0,NA,,
BSR,Materials,14260,13390,NA,NA,NA,519.7,0.29,535.5,-8.03,0,0.89,,
BRL,Materials,18010,23210,NA,NA,NA,0.46,0.9,0.59,-2.34,0,38.57,,
BAU,Materials,14150,-11200,NA,NA,NA,37.43,0.48,-28.72,2.17,0.11,NA,,
BBX,Materials,1660,1570,NA,NA,NA,NA,3.5,NA,-1.82,0,9.47,,
BCI,Materials,73570,10200,NA,NA,-0.51,0.25,0.34,0.03,-0.15,0.56,19.37,,
BCD,Materials,4090,3840,NA,NA,NA,1.65,1.3,1.55,-3.25,0,26.96,,
BPT,Energy,1390000,1370000,NA,13.38,-0.8,1.49,0.77,1.48,5.71,0.19,8.28,,
BLX,Retailing,422620,455040,29.77,24.56,1.51,2.52,9.57,2.67,18.79,0.05,2.28,,
BCN,Materials,5970,7250,4,NA,NA,0.48,1.33,0.58,6.27,0,95.89,,
BDR,Materials,131780,268560,9.71,2.75,0.12,0.55,0.65,1.03,3.06,0.02,53.3,,
BGA,"Food, Beverage & Tobacco",686710,741610,12.78,21.43,41.37,0.62,2.2,0.67,23.34,0.2,27.54,,
BFG,Diversified Financials,113920,-16200,19.35,NA,NA,0.75,0.66,-0.11,NA,0.59,8.32,,
BAL,"Food, Beverage & Tobacco",350550,310870,92.25,30.75,0.4,3.82,7.57,3.66,53.25,0.18,0.73,,
BEN,Banks,5280000,5210000,12.94,12.37,3.52,3.73,1.1,3.62,NA,14.83,NA,,
BLT,Pharmaceuticals & Biotechnology,91550,63890,NA,1.76,NA,50.71,3.07,35.71,-7.14,0.23,NA,,
BEL,Diversified Financials,10100,1820,16.88,NA,NA,3.8,0.56,0.69,1.3,0.11,NA,,
BKY,Energy,39680,22610,NA,NA,NA,59.09,1.24,33.68,-3.14,0.09,NA,,
BYI,Media,83420,76520,10.07,NA,NA,0.91,1.76,0.83,7.03,0.1,NA,,
BGD,Materials,3740,2510,NA,NA,NA,85094.45,2.5,45603.82,NA,0.01,7.6,,
BHP,Materials,148470000,176550000,14.9,24.69,-1.18,2.36,1.87,2.8,6.39,1.17,36.02,,
BIG,Software & Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BGL,Telecommunication Services,129370,146180,23.12,12.33,0.6,2.37,2.77,2.87,9.45,0.02,41.26,,
BBG,Consumer Durables & Apparel,562400,659990,NA,19,NA,0.51,1.83,0.59,12.44,0.2,80.95,,
BNO,Pharmaceuticals & Biotechnology,181900,138070,43.5,4.83,NA,5.96,4.38,4.64,16.79,0.09,33.64,,
BTC,Diversified Financials,9000,8000,NA,NA,NA,647.28,6.18,575.27,NA,0.02,NA,,
BIT,Pharmaceuticals & Biotechnology,39070,24820,NA,NA,NA,18.65,11.04,14.41,-9.24,0.01,NA,,
BXN,Pharmaceuticals & Biotechnology,2600,1900,1.62,NA,NA,1.29,2.17,0.88,6.67,0.01,NA,,
BGS,Materials,8660,7390,NA,NA,NA,NA,1.25,NA,-11.88,0,NA,,
BIS,Materials,24630,32760,NA,NA,NA,0.46,1.23,0.59,8.29,0.03,35.83,,
BSN,Diversified Financials,3940,1790,NA,NA,NA,61.39,5,59.33,NA,0,NA,,
BKI,Diversified Financials,948940,899780,22.14,NA,NA,22.69,1.13,21.39,22.12,0.08,NA,,
BKM,Commercial Services & Supplies,1260,926.98,NA,NA,NA,0.89,NA,0.65,-2.79,0,56.4,,
