Ticker,Sector,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Total Cash Per Share,Total Debt/Equity,,0
1PG,Software & Services,192230,212930,NA,NA,NA,1245.38,13.33,1342.15,-38.23,NA,NA,,
ONT,Health Care Equipment & Services,153200,145880,26.3,19.03,NA,4.3,4.85,4.21,12.36,0.21,NA,,
TGP,Real Estate,251670,408030,9.33,11.1,NA,4.66,1.52,7.62,10.69,0.08,74.71,,
3DM,Health Care Equipment & Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
TDO,Energy,13780,-1150,6.44,NA,NA,128.37,0.65,-9.56,0.87,0.07,NA,,
DDD,Materials,1760,1560,3.5,NA,NA,1.84,1,1.55,2.22,0,NA,,
88E,Energy,20510,17400,NA,NA,NA,97.06,5,98.95,-2.48,0,NA,,
8CO,Software & Services,9990,8250,16.82,NA,NA,2.82,1.61,2.4,7.16,0.03,NA,,
NNW,Retailing,176550,154930,165,8.25,NA,6.89,3.81,6.24,54.51,0.01,NA,,
ACB,Energy,13130,9310,NA,NA,NA,226.34,0.26,187.36,-5.44,0.01,NA,,
AYC,Materials,11620,9670,NA,NA,NA,284.86,0.48,268.66,-0.72,0,0.06,,
AYI,Diversified Financials,3970,3330,NA,NA,NA,5437.24,NA,5067.68,-5.26,0,282.96,,
ABP,Real Estate,1580000,2120000,11.82,12.43,6.22,4.34,1.16,6.26,14.52,0.11,52.87,,
ALR,Diversified Financials,71430,108100,40,NA,NA,17.08,1.02,25.95,NA,0.03,43.98,,
ABU,Materials,87540,61250,NA,1.82,NA,82.08,2.14,72.13,-4.53,0.04,NA,,
AJC,Energy,1810,-1110,NA,NA,NA,6.28,0.15,-3.87,16.34,0,NA,,
AKG,Consumer Services,48410,58420,14.18,NA,NA,0.9,1.59,1.09,9.14,0.07,43.62,,
ACS,Materials,56110,46920,NA,NA,NA,598.45,10.69,502.03,-68.61,0.01,NA,,
ACX,Software & Services,461830,399670,NA,56.2,-6.98,6.35,NA,5.53,-39.86,0.15,NA,,
ACR,Pharmaceuticals & Biotechnology,149040,140360,14.92,9.94,-0.25,6.3,4.29,5.76,8.21,0.09,NA,,
ACW,Pharmaceuticals & Biotechnology,46670,37320,NA,NA,NA,286.44,4.65,274.94,-25.22,0,NA,,
AIV,Materials,19280,17410,NA,NA,NA,203.81,2.21,184.14,-21.15,0,NA,,
ACU,Pharmaceuticals & Biotechnology,4040,NA,NA,NA,NA,364.51,NA,NA,NA,NA,NA,,
ADA,Software & Services,45550,34270,NA,NA,NA,1.21,3.94,1,11.75,0.09,0.03,,
ADD,Energy,NA,896.48,NA,NA,NA,NA,NA,NA,-4.02,0,NA,,
AAU,Media,2250,265.03,NA,NA,NA,0.12,NA,0.01,-0.98,0.03,NA,,
ABC,Materials,2970000,3370000,17.05,15.76,7.96,2.22,2.62,2.52,12.08,0.05,34.44,,
ADN,Materials,7920,4730,NA,NA,NA,64.13,0.52,48.76,-4.44,0.01,NA,,
ABY,Materials,67380,14990,NA,NA,NA,1.21,0.24,0.26,-0.26,0.18,0.45,,
AHZ,Health Care Equipment & Services,116240,88490,NA,NA,14.13,10.84,3.82,10.23,-4.87,0.01,NA,,
ADY,Materials,18230,20710,NA,NA,NA,1128.66,1.11,1159.81,-7.21,0,14.58,,
ADJ,Software & Services,103520,108900,NA,NA,NA,16.95,2.84,16.88,-28.76,0.01,NA,,
ABV,Automobiles & Components,8860,9460,NA,NA,NA,1.56,6,1.67,-6.39,0,152.43,,
ASW,Diversified Financials,30350,24630,19.19,NA,NA,5.91,3.78,4.8,9.8,0.11,NA,,
ADX,Energy,2630,1920,4,NA,NA,2380.7,0.31,1739.57,-1.94,0,NA,,
AER,Consumer Services,10860,8100,NA,NA,NA,25.44,6.9,25.57,-298.52,0.01,NA,,
AQR,Materials,19480,35660,NA,NA,NA,NA,0.52,NA,-75.23,0.01,41.26,,
AEI,Commercial Services & Supplies,70570,56490,NA,NA,NA,119.27,34.67,108.66,-38.35,0.04,160.85,,
AFR,Energy,41910,39210,NA,NA,NA,6296.36,1.66,5889.95,-8.21,0,NA,,
AFT,Capital Goods,7150,7070,NA,NA,NA,2.69,NA,2.66,-3.93,0,242.58,,
AHA,Diversified Financials,2300,2040,NA,NA,NA,0.41,0.36,0.37,3.02,0.01,30.44,,
AGX,Pharmaceuticals & Biotechnology,2090,328.59,2,NA,NA,163.57,1.62,31.57,-0.46,0.01,43.48,,
AGL,Utilities,10470000,14160000,14.75,14.53,2.4,1.11,1.16,1.5,10,0.57,41.1,,
AGJ,Real Estate,8780,18500,6.92,NA,NA,3.44,0.86,7.25,NA,0.01,97.49,,
AMN,Materials,14040,11460,NA,NA,NA,NA,4.86,-77.87,-18.19,0.02,NA,,
AGR,Materials,20640,17090,NA,NA,NA,304.91,0.78,315.64,-9.45,0.01,4.75,,
AGI,Consumer Services,883210,886930,14.35,13.7,0.76,3.78,3.43,3.79,11.4,0.19,0.28,,
AIZ,Transportation,2910000,3600000,15.95,6.67,-0.14,0.87,2.3,1.06,6.09,0.81,120.55,,
AJL,Capital Goods,112300,NA,NA,NA,NA,0.61,1.12,NA,NA,0.1,69.22,,
AQG,Materials,849480,493740,12.17,73,-0.53,3.1,1.45,1.75,3.35,1.2,NA,,
AUQ,Materials,1490,869.52,NA,NA,NA,NA,0.04,-0.29,-0.15,0.01,3.95,,
ACL,Pharmaceuticals & Biotechnology,12660,1070,NA,3.9,3.64,0.75,1.11,0.06,-0.19,0.04,NA,,
ALY,Materials,4580,3240,NA,NA,NA,NA,0.26,NA,-2.65,0,0.14,,
AAI,Materials,25550000,33170000,42.48,NA,NA,1.05,2.22,1.37,8.68,0.97,63.69,,
LEP,Real Estate,735840,1170000,23.5,25.07,10.03,13.46,1.92,21.42,24.32,0.23,125.02,,
AWD,Energy,2990,1560,NA,NA,NA,2748.16,0.01,5281.99,-1.88,0,1.37,,
AJX,Materials,150200,132030,NA,NA,NA,872.01,12.28,865.5,-32.68,0.02,6.88,,
AEB,Energy,18230,16270,NA,NA,NA,NA,6.87,NA,-18.26,0.01,36.38,,
AQI,Materials,2460,1330,NA,NA,NA,108.96,1.35,58.79,-0.48,0.02,NA,,
ALK,Materials,126340,109890,NA,15.25,NA,1.59,0.73,1.34,4.06,0.06,NA,,
AHQ,Energy,1590,2020,NA,NA,NA,8.41,0.53,10.65,-58.12,0.01,66.79,,
AMT,Health Care Equipment & Services,18420,19700,NA,NA,NA,2.07,3.87,2.21,28.4,0.02,11.3,,
AQZ,Transportation,44170,138270,NA,3.19,0.54,0.22,0.39,0.69,3.38,0.04,83.61,,
AGS,Materials,32870,31080,NA,NA,NA,51.28,1.26,56.3,-3.19,0,5.66,,
AGE,Energy,12450,9900,NA,NA,NA,NA,0.57,NA,-11.53,0.01,NA,,
AYR,Materials,2960,2440,NA,NA,NA,NA,0.6,NA,-5.65,0,NA,,
ALQ,Commercial Services & Supplies,2450000,3110000,NA,15.84,2.69,1.69,1.98,2.19,10.63,0.4,76.48,,
ATC,Materials,5020,5520,NA,NA,NA,10.24,1.38,9.93,-1.89,0.01,NA,,
AIQ,Not Applic,16340,NA,20.83,NA,NA,9.81,0.71,NA,NA,0.05,NA,,
ALU,Software & Services,575260,520200,35.32,21.19,2.07,7.51,13.24,6.79,23.68,0.46,0.27,,
AOH,Materials,69510,-59230,1.78,NA,-0.59,0.82,0.48,-0.7,-2.8,0.24,NA,,
AJM,Materials,6010,20270,NA,0.22,NA,1.13,0.23,4.12,98.41,0,63.07,,
